id,name,type,diameter_m,velocity_km_s,distance_km,is_hazardous,period_years,eccentricity,inclination_deg,perihelion_au,aphelion_au,moid_au,orbital_energy,period_category,eccentricity_category,inclination_category,is_famous_comet
comet-P_2004_R1__McNaught_,P/2004 R1 (McNaught),comet,1096,0,147532224,0,5.48,0.682526943,4.894555854,0.986192006,5.23,0.027011,-0.16087019175642883,short,medium,low,0
comet-P_2008_S1__Catalina_McNaught_,P/2008 S1 (Catalina-McNaught),comet,1348,0,178117441,0,6.74,0.6663127807,15.1007464,1.190641555,5.95,0.194101,-0.14004343899600769,short,medium,medium,0
comet-1P_Halley,1P/Halley,comet,10000,0.1,87661078,0,75.32,0.9671429085,162.2626906,0.5859781115,35.08,0.063782,-0.02803792445769387,medium,high,high,1
comet-2P_Encke,2P/Encke,comet,660,0.1,50278705,0,3.3,0.8482682514,11.77999525,0.3360923855,4.09,0.173092,-0.2259329252313005,short,high,medium,1
comet-3D_Biela,3D/Biela,comet,1330,0,131507449,0,6.65,0.751299,13.2164,0.879073,6.19,0.000518,-0.14146126373288265,short,high,medium,0
comet-5D_Brorsen,5D/Brorsen,comet,1092,0.1,88239855,0,5.46,0.809796,29.3821,0.589847,5.61,0.366559,-0.16129430290779756,short,high,medium,0
comet-7P_Pons_Winnecke,7P/Pons-Winnecke,comet,1264,0,185383901,0,6.32,0.6375275046,22.33501476,1.239214834,5.6,0.224191,-0.14621561455105478,short,medium,medium,0
comet-8P_Tuttle,8P/Tuttle,comet,2722,0,153654454,0,13.61,0.819799747,54.98318484,1.027116587,10.37,0.09531,-0.08774149078554128,short,high,high,1
comet-12P_Pons_Brooks,12P/Pons-Brooks,comet,10000,0,115738949,0,70.85,0.9548123942,74.17689423,0.7736670873,33.47,0.1873,-0.029202479905280694,medium,high,high,0
comet-13P_Olbers,13P/Olbers,comet,10000,0,176293703,0,69.52,0.9302971475,44.60988573,1.178450614,32.64,0.477199,-0.029569657445691046,medium,high,medium,0
comet-15P_Finlay,15P/Finlay,comet,1302,0,145992678,0,6.51,0.7201837656,6.798912616,0.9759007725,6,0.009433,-0.143350662891041,short,high,low,0
comet-18D_Perrine_Mrkos,18D/Perrine-Mrkos,comet,1344,0,190325604,0,6.72,0.6425809824,17.75898277,1.272248081,5.85,0.28923,-0.14040510645335383,short,medium,medium,0
comet-20D_Westphal,20D/Westphal,comet,10000,0,187597639,0,61.87,0.919831189,40.89006106,1.254012762,30.03,0.468283,-0.03196520879874713,medium,high,medium,0
comet-21P_Giacobini_Zinner,21P/Giacobini-Zinner,comet,1318,0,154189968,0,6.59,0.7068178874,31.90810099,1.030696274,6,0.035395,-0.14223342340901127,short,high,medium,1
comet-23P_Brorsen_Metcalf,23P/Brorsen-Metcalf,comet,10000,0.1,71620386,0,70.52,0.9719522579,19.33394047,0.4787527107,33.66,0.193872,-0.029292224249498528,medium,high,medium,0
comet-24P_Schaumasse,24P/Schaumasse,comet,1650,0,180266936,0,8.25,0.7048003557,11.75152976,1.205010042,6.96,0.28218,-0.12247382365191216,short,high,medium,0
comet-26P_Grigg_Skjellerup,26P/Grigg-Skjellerup,comet,1048,0,162350757,0,5.24,0.6402771379,22.42889388,1.085247781,4.95,0.079476,-0.16569327992599941,short,medium,medium,0
comet-27P_Crommelin,27P/Crommelin,comet,5614,0,111942212,0,28.07,0.9189810923,28.96687279,0.7482874671,17.72,0.215189,-0.05414687213318681,medium,high,medium,0
comet-41P_Tuttle_Giacobini_Kresak,41P/Tuttle-Giacobini-Kresak,comet,1084,0,156745303,0,5.42,0.6604126649,9.228028049,1.047777635,5.12,0.135384,-0.16213295277140774,short,medium,low,1
comet-45P_Honda_Mrkos_Pajdusakova,45P/Honda-Mrkos-Pajdusakova,comet,1050,0.1,79251181,0,5.25,0.8246720759,4.252433261,0.5297614214,5.51,0.060071,-0.16556945386233532,short,high,low,0
comet-46P_Wirtanen,46P/Wirtanen,comet,1086,0,157416167,0,5.43,0.6592025614,11.75713931,1.052262085,5.12,0.068212,-0.16201515525891672,short,medium,medium,0
comet-55P_Tempel_Tuttle,55P/Tempel-Tuttle,comet,6648,0,146071537,0,33.24,0.905552721,162.4865754,0.9764279155,19.7,0.008481,-0.048364253442943796,medium,high,high,1
comet-66P_du_Toit,66P/du Toit,comet,2942,0,190627596,0,14.71,0.7877014869,18.70073632,1.274266775,10.73,0.430358,-0.08330371348315857,short,high,medium,0
comet-67P_Churyumov_Gerasimenko,67P/Churyumov-Gerasimenko,comet,1288,0,185986309,0,6.44,0.6409739314,7.040200902,1.243241683,5.68,0.257189,-0.14444100694267212,short,medium,low,0
comet-72P_Denning_Fujikawa,72P/Denning-Fujikawa,comet,1806,0,117308847,0,9.03,0.8191545266,9.16928387,0.7841612055,7.89,0.085253,-0.11528492223155053,short,high,low,0
comet-73P_Schwassmann_Wachmann_3,73P/Schwassmann-Wachmann 3,comet,1068,0,139540524,0,5.34,0.6948269106,11.4234876,0.9327707926,5.18,0.045198,-0.1635919346445282,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_B,73P/Schwassmann-Wachmann 3-B,comet,1072,0,140489011,0,5.36,0.6932855208,11.39695195,0.9391110367,5.18,0.04071,-0.16342243080774263,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_C,73P/Schwassmann-Wachmann 3-C,comet,1072,0,141049344,0,5.36,0.6922258013,11.37915706,0.9428566312,5.18,0.038373,-0.1633224588183789,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_E,73P/Schwassmann-Wachmann 3-E,comet,1072,0,140238578,0,5.36,0.6938774628,11.40562118,0.9374369945,5.19,0.041033,-0.16320037250445857,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_G,73P/Schwassmann-Wachmann 3-G,comet,1072,0,140499916,0,5.36,0.6934129712,11.38956229,0.9391839301,5.19,0.04054,-0.16315385725154516,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_H,73P/Schwassmann-Wachmann 3-H,comet,1074,0,140497759,0,5.37,0.6935658067,11.3910639,0.9391695085,5.19,0.04055,-0.1631542411436311,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_J,73P/Schwassmann-Wachmann 3-J,comet,1062,0,140475423,0,5.31,0.6915388167,11.38026546,0.9390202047,5.15,0.040713,-0.16423003478098475,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_K,73P/Schwassmann-Wachmann 3-K,comet,1072,0,140483896,0,5.36,0.6935434852,11.39106462,0.9390768439,5.19,0.040579,-0.1631567078483044,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_L,73P/Schwassmann-Wachmann 3-L,comet,1080,0,140485774,0,5.4,0.694735675,11.3987128,0.9390893944,5.21,0.040654,-0.16262570534601498,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_M,73P/Schwassmann-Wachmann 3-M,comet,1074,0,140486884,0,5.37,0.6939409383,11.39436144,0.9390968147,5.2,0.040589,-0.16289041045997368,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_N,73P/Schwassmann-Wachmann 3-N,comet,1066,0,140510452,0,5.33,0.6922889938,11.38094121,0.9392543584,5.17,0.040527,-0.1636860967533684,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_P,73P/Schwassmann-Wachmann 3-P,comet,1084,0,140496208,0,5.42,0.6955758994,11.40542193,0.9391591394,5.23,0.04065,-0.1620966451673117,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_Q,73P/Schwassmann-Wachmann 3-Q,comet,1102,0,140579475,0,5.51,0.6986472444,11.4193581,0.9397157483,5.3,0.040746,-0.16026371077439677,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_R,73P/Schwassmann-Wachmann 3-R,comet,1076,0,140492080,0,5.38,0.6940882133,11.3947263,0.9391315473,5.2,0.04058,-0.16288948889518448,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_S,73P/Schwassmann-Wachmann 3-S,comet,1218,0,152943863,0,6.09,0.6933582332,11.04818134,1.022366578,5.65,0.007355,-0.14987186155166907,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_T,73P/Schwassmann-Wachmann 3-T,comet,1178,0,140520089,0,5.89,0.7119324141,11.51229958,0.9393187761,5.58,0.041618,-0.15339025967958908,short,high,medium,0
