id,name,type,diameter_m,velocity_km_s,distance_km,is_hazardous,period_years,eccentricity,inclination_deg,perihelion_au,aphelion_au,moid_au,orbital_energy,period_category,eccentricity_category,inclination_category,is_famous_comet
comet-73P_Schwassmann_Wachmann_3_AV,73P/Schwassmann-Wachmann 3-AV,comet,1072,0,140476034,0,5.36,0.6933582332,11.3951153,0.9390242876,5.19,0.040526,-0.16315810691485763,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_AW,73P/Schwassmann-Wachmann 3-AW,comet,994,0,140660558,0,4.97,0.6773014639,11.23959642,0.9402577564,4.89,0.039791,-0.17151900340980267,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_AX,73P/Schwassmann-Wachmann 3-AX,comet,1066,0,140324230,0,5.33,0.6924701264,11.42778528,0.9380095396,5.16,0.040309,-0.1639879363103776,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_AY,73P/Schwassmann-Wachmann 3-AY,comet,984,0,140650931,0,4.92,0.675089956,11.22586964,0.9401934035,4.85,0.039663,-0.17270580277949432,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_AZ,73P/Schwassmann-Wachmann 3-AZ,comet,984,0,140669537,0,4.92,0.6750699862,11.22070941,0.9403177776,4.85,0.039697,-0.17270209311629267,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_BA,73P/Schwassmann-Wachmann 3-BA,comet,1018,0,140659067,0,5.09,0.6824329214,11.27075096,0.9402477902,4.98,0.040053,-0.16891184886810584,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_BB,73P/Schwassmann-Wachmann 3-BB,comet,1022,0,140984111,0,5.11,0.6824329214,11.19018461,0.942420571,4.99,0.040143,-0.16856525730633334,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_BC,73P/Schwassmann-Wachmann 3-BC,comet,1110,0,140443589,0,5.55,0.7004675151,11.45870615,0.9388074049,5.33,0.040954,-0.1595199749187305,short,high,medium,0
comet-73P_Schwassmann_Wachmann_3_BD,73P/Schwassmann-Wachmann 3-BD,comet,1028,0,141542861,0,5.14,0.6824392137,10.97454826,0.9461555836,5.01,0.040389,-0.1678935323236777,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_BE,73P/Schwassmann-Wachmann 3-BE,comet,1018,0,140535432,0,5.09,0.6824392137,11.3165548,0.9394213409,4.98,0.039983,-0.16893543176096298,short,medium,medium,0
