id,name,diameter_m,velocity_km_s,distance_km,magnitude,is_hazardous,is_sentry_object,approach_date,kinetic_energy_mt,threat_level,distance_earth_radii,velocity_escape,size_category,is_today_approach,is_this_week
2000433,433 Eros (A898 PA),35937,5.5786191875,47112732.928149395,10.39,0,0,1900-12-27,271129702.09555453,4,7394.872536203013,0.4980909988839286,huge,0,0
2000719,719 Albert (A911 TB),3277,3.446029003,255628984.35594097,15.59,0,0,1909-08-21,78445.02147999499,4,40123.83995541374,0.3076811609821429,huge,0,0
2000887,887 Alinda (A918 AA),7439,7.095973685,20461808.70383613,13.81,0,0,1974-01-04,3891041.601845715,4,3211.710673965803,0.6335690790178572,huge,0,0
2001036,1036 Ganymed (A924 UB),62740,6.3038664111,292651826.17328167,9.18,0,0,1910-02-25,1842238062.2993832,4,45934.9907664859,0.5628452152767857,huge,0,0
2001221,1221 Amor (1932 EA1),1444,10.7701740589,27512874.49403824,17.37,0,0,1908-03-14,65560.94869245542,4,4318.454637268598,0.9616226838303572,huge,0,0
2001566,1566 Icarus (1949 MA),2126,27.0080561011,12638658.792139495,16.53,1,0,1902-06-11,1315753.8218924014,4,1983.779436845,2.4114335804553573,huge,0,0
2001580,1580 Betulia (1950 KA),5147,11.3576547268,276689988.3291326,14.61,0,0,1929-06-09,3301703.2270872365,4,43429.60105621294,1.014076314892857,huge,0,0
2001620,1620 Geographos (1951 RA),3798,11.7628115427,5071250.986983104,15.27,1,0,1901-08-23,1422935.992566011,4,795.9897954768645,1.0502510305982142,huge,0,0
2001627,1627 Ivar (1929 SH),11900,6.5498704866,24911350.809696373,12.79,0,0,1929-07-19,13570770.775056696,4,3910.1162784015655,0.584809864875,huge,0,0
2001685,1685 Toro (1948 OA),5992,16.1350821461,26483636.64554235,14.28,0,0,1908-08-04,10513709.697360398,4,4156.90419801324,1.4406323344732144,huge,0,0
2001862,1862 Apollo (1932 HA),2615,11.6407136972,9839828.72675955,16.08,1,0,1911-01-29,454854.50553064875,4,1544.4716256097236,1.03934943725,huge,0,0
2001863,1863 Antinous (1948 EA),3480,18.0795126569,13378690.522801436,15.46,0,0,1907-10-11,2585886.0104965074,4,2099.9357279550204,1.6142422015089286,huge,0,0
2001864,1864 Daedalus (1971 FA),4630,21.1217901741,22024825.739892863,14.84,0,0,1909-11-13,8311944.343339203,4,3457.0437513565944,1.8858741226875,huge,0,0
2001865,1865 Cerberus (1971 UA),1886,20.574000903,15819539.497497234,16.79,0,0,1905-12-23,533041.2022969412,4,2483.0543866735575,1.836964366339286,huge,0,0
2001866,1866 Sisyphus (1972 XA),13726,23.0737678663,29534088.129173607,12.48,0,0,1959-11-17,258444460.15994442,4,4635.706816696532,2.060157845205357,huge,0,0
2001915,1915 Quetzalcoatl (1953 EA),907,15.120986141,3789658.286758657,18.38,0,0,1906-03-06,32024.348066136565,4,594.8294281523555,1.3500880483035715,large,0,0
2001916,1916 Boreas (1953 RA),4462,20,100000,14.92,0,0,,6670323.464131808,4,15.69612305760477,1.7857142857142858,huge,0,0
2001917,1917 Cuyo (1968 AA),5722,15.2344898243,16872242.23565602,14.38,0,0,1926-09-28,8162018.898921281,4,2648.2879038857354,1.3602223057410716,huge,0,0
2001943,1943 Anteros (1973 EC),3130,7.2023034103,18431472.81498497,15.69,0,0,1937-05-28,298589.1647283954,4,2893.026654369011,0.6430628044910714,huge,0,0
2001980,1980 Tezcatlipoca (1950 LA),7439,20,100000,13.81,0,0,,30910204.117218018,4,15.69612305760477,1.7857142857142858,huge,0,0
2001981,1981 Midas (1973 EA),3833,31.4029234455,23199847.01189949,15.25,1,0,1916-09-24,10424490.1713325,4,3641.4765361637874,2.803832450491072,huge,0,0
2002059,2059 Baboquivari (1963 UA),2739,3.2390038886,207416502.58300328,15.98,0,0,1922-11-16,40466.6488751291,4,32556.349487208176,0.2891967757678572,huge,0,0
2002061,2061 Anza (1960 UA),1966,6.8951216486,10260841.11471333,16.7,0,0,1943-09-15,67816.06890436809,4,1610.5542481107095,0.6156358614821429,huge,0,0
2002062,2062 Aten (1976 AA),1628,11.2688208334,18835343.845160324,17.11,0,0,1900-01-19,102853.32953056092,4,2956.4187482593507,1.0061447172678573,huge,0,0
2002063,2063 Bacchus (1977 HB),1554,10.3891121599,9959874.764243582,17.21,0,0,1903-03-06,76034.04906055945,4,1563.314199378996,0.9275992999910715,huge,0,0
2002100,2100 Ra-Shalom (1978 RA),2418,17.9951279067,12234205.272737717,16.25,0,0,1906-12-24,859363.6326971896,4,1920.2959147288836,1.6067078488125,huge,0,0
2002101,2101 Adonis (1936 CA),786,19.3298299696,28140949.153484065,18.69,1,0,1902-07-16,34058.217245840846,4,4417.038008708847,1.7258776758571428,large,0,0
2002102,2102 Tantalus (1975 YA),2714,33.9011179621,10979848.95911695,16,1,0,1912-12-23,4312764.817264779,4,1723.4106041621333,3.0268855323303576,huge,0,0
2002135,2135 Aristaeus (1977 HA),1056,27.4377860884,71380028.48041442,18.05,1,0,1958-10-17,166413.32265345182,4,11203.89710883918,2.449802329321429,huge,0,0
2002201,2201 Oljato (1947 XC),3711,25.3456267744,25845171.89043248,15.32,1,0,1903-06-18,6162786.738555121,4,4056.6899843717597,2.2630023905714287,huge,0,0
2002202,2202 Pele (1972 RA),1728,6.4939303073,22477105.54873577,16.98,0,0,1972-10-07,40845.54233715603,4,3528.034146717277,0.5798152060089287,huge,0,0
2002212,2212 Hephaistos (1978 SB),8581,29.4211459099,17637404.07475119,13.5,0,0,1905-03-14,102667049.00265889,4,2768.388647739945,2.626888027669643,huge,0,0
2002329,2329 Orthos (1976 WA),5218,23.4239211559,72695339.82246709,14.58,0,0,1909-05-16,14632873.727370147,4,11410.3499956784,2.0914215317767857,huge,0,0
2002340,2340 Hathor (1976 UA),353,17.4915658691,11911205.968456928,20.43,1,0,1901-07-04,2526.269631359236,4,1869.5975464537635,1.5617469525982144,large,0,0
2002368,2368 Beltrovata (1977 RA),4014,20,100000,15.15,0,0,,4856129.965091075,4,15.69612305760477,1.7857142857142858,huge,0,0
2002608,2608 Seneca (1978 DA),1373,17.1348117091,25771799.401042502,17.48,0,0,1905-03-01,142648.92069316455,4,4045.173348146681,1.5298939025982143,huge,0,0
2003102,3102 Krok (1981 QA),2521,6.127545116,29746628.24083123,16.16,0,0,1981-08-25,112924.91638744881,4,4669.067374169083,0.5471022425000001,huge,0,0
2003103,3103 Eger (1982 BB),3746,16.9574701096,26405147.011411157,15.3,0,0,1981-08-03,2837420.1271592244,4,4144.5843684525435,1.5140598312142857,huge,0,0
2003122,3122 Florence (1981 ET3),6570,13.9543936845,7837812.447728948,14.08,1,0,1930-08-29,10366120.588251222,4,1230.2326868198004,1.2459280075446428,huge,0,0
