id,name,object_type,diameter_m,velocity_km_s,distance_km,is_hazardous,kinetic_energy_mt,threat_level,size_category,period_years,eccentricity,inclination_deg,moid_au,is_asteroid,is_comet
comet-C_1991_L3__Levy_,C/1991 L3 (Levy),comet,10000,0,146988805,0,0,1,huge,51.28,0.9288178631,19.19030997,0.074988,0,1
comet-P_1999_J6__SOHO_,P/1999 J6 (SOHO),comet,1092,0.2,7339006,1,9.777461441541028,2,huge,5.46,0.9841773128,26.6131418,0.010175,0,1
comet-P_1999_R1__SOHO_,P/1999 R1 (SOHO),comet,802,0.2,8528971,0,3.8733014790869373,2,large,4.01,0.9774091221,13.67622884,0.076579,0,1
comet-P_1999_RO28__LONEOS_,P/1999 RO28 (LONEOS),comet,1324,0,184268488,0,0,1,huge,6.62,0.6507867331,8.191041706,0.247638,0,1
comet-C_1999_X3__SOHO_,C/1999 X3 (SOHO),comet,844,0.2,7173403,1,4.51424927234102,2,large,4.22,0.9816398786,6.337569475,0.031348,0,1
comet-C_2001_OG108__LONEOS_,C/2001 OG108 (LONEOS),comet,9700,0,148707446,0,0,1,huge,48.5,0.925259301,80.24505505,0.300836,0,1
comet-C_2001_W2__BATTERS_,C/2001 W2 (BATTERS),comet,10000,0,157237032,0,0,1,huge,75.91,0.9413734582,115.9130897,0.145327,0,1
comet-C_2002_R5__SOHO_,C/2002 R5 (SOHO),comet,1154,0.2,7091179,1,11.539197943157875,3,huge,5.77,0.985261262,14.12062881,0.094044,0,1
comet-P_2002_S7__SOHO_,P/2002 S7 (SOHO),comet,1158,0.2,7300162,1,11.659605999059911,3,huge,5.79,0.9848618681,13.57497488,0.114603,0,1
comet-P_2003_T12__SOHO_,P/2003 T12 (SOHO),comet,824,0.1,85994832,0,1.0502189263722261,2,large,4.12,0.7764221763,11.4758078,0.154232,0,1
comet-P_2005_T4__SWAN_,P/2005 T4 (SWAN),comet,5688,0.1,97148773,0,345.4434550035778,4,huge,28.44,0.930297059,160.0361801,0.157261,0,1
comet-P_2005_W4__SOHO_,P/2005 W4 (SOHO),comet,1062,0.2,8075347,0,8.99356229238202,2,huge,5.31,0.9822675576,14.5962755,0.107655,0,1
comet-P_2006_HR30__Siding_Spring_,P/2006 HR30 (Siding Spring),comet,4372,0,183470973,0,0,1,huge,21.86,0.8431183899,31.88449913,0.452907,0,1
comet-P_2007_T2__Kowalski_,P/2007 T2 (Kowalski),comet,1086,0,104099585,0,0,1,huge,5.43,0.7748340855,9.895275619,0.156276,0,1
