id,name,diameter_meters,is_sentry_object,absolute_magnitude_h,latest_approach_date,latest_velocity_km_s,latest_distance_km,kinetic_energy_mt,threat_level
2263976,263976 (2009 KD5),923.72,false,18.34,2025-07-13,7.9422021453,20938391.988162007,9332.7134,EXTREME
2456938,456938 (2007 YV56),273.87,false,20.98,2025-07-07,14.2039697119,25967511.801815946,777.9390,HIGH
3685808,(2014 QX432),458.71,false,19.86,2025-07-07,20.2521003209,9902861.938881919,7431.3240,EXTREME
2839444,839444 (2014 QX432),458.71,false,19.86,2025-07-07,20.2521003216,9902861.953841707,7431.3240,EXTREME
54017234,(2020 KR4),273.87,false,20.98,2025-06-11,31.8550477348,13213182.276056094,3912.7543,EXTREME
54441878,(2024 JR16),185.16,false,21.83,2025-06-10,14.8047581454,19565629.84306367,261.1732,HIGH
3825481,(2018 MY6),227.79,false,21.38,2025-06-13,28.4655308554,72065798.50550379,1797.8963,EXTREME
3591611,(2011 YG6),260.34,false,21.09,2025-06-07,26.3258700233,67983274.24886078,2295.5752,EXTREME
3124996,(2002 JX8),352.81,false,20.43,2025-05-09,5.1377182414,4206591.948626035,217.6039,HIGH
2612356,612356 (2002 JX8),432.06,false,19.99,2025-05-09,5.1376950261,4206653.328632096,399.6342,HIGH
54199511,(2021 RR23),338.49,false,20.52,2025-05-08,25.8030550261,63086400.38842639,4846.9475,EXTREME
54524726,(2025 FP10),717.04,false,18.89,2025-04-12,13.9559151812,4150006.359821304,13478.5352,EXTREME
3407680,(2008 FW6),271.36,false,21,2025-04-09,26.7882567653,65299890.65493427,2691.6275,EXTREME
54322868,(2022 US21),182.62,false,21.86,2025-03-10,17.404994571,44499286.51796533,346.3170,HIGH
2494658,494658 (2000 UG11),310.13,false,20.71,2025-03-12,15.6420094725,23201645.77668837,1369.9703,EXTREME
3758927,(2016 RN1),268.87,false,21.02,2025-03-14,17.1559905262,29647919.78137912,1073.8847,EXTREME
54520813,(2025 DQ7),199.32,false,21.67,2025-02-08,13.1716618597,13491668.090847544,257.8738,HIGH
54509624,(2024 YU4),669.18,false,19.04,2025-02-07,29.1418194599,11229778.410498776,47770.4555,EXTREME
54519692,(2025 CH4),244.09,false,21.23,2025-02-11,31.6832556664,3424071.490765841,2740.2214,EXTREME
2506491,506491 (2003 UW29),313.00,false,20.69,2025-01-14,26.9373528737,17371524.962223362,4176.7251,EXTREME
3459429,(2009 JR),224.67,false,21.41,2025-01-14,9.7933235468,20426799.92997703,204.1673,HIGH
3730322,(2015 TL178),240.74,false,21.26,2025-01-11,17.5611867728,49699887.73707776,807.6697,HIGH
3797861,(2018 BM3),172.01,false,21.99,2025-01-10,22.8423951082,21814630.844123658,498.4359,HIGH
54423312,(2024 BR4),225.71,false,21.4,2024-12-15,7.160254775,69970509.64498411,110.6580,HIGH
2531914,531914 (2013 BW76),894.42,false,18.41,2024-11-14,24.5989540155,16245538.491090873,81275.4415,EXTREME
2252399,252399 (2001 TX44),564.34,false,19.41,2024-11-13,25.1388582947,38337875.19159116,21321.4706,EXTREME
3586027,(2011 VU5),412.61,false,20.09,2024-11-12,18.6733900372,14267732.383351723,4598.0363,EXTREME
