asteroid_id,diameter_m,velocity_km_s,distance_km,kinetic_energy_mt,is_hazardous,absolute_magnitude,approach_parameter,gravity_influence,orbit_uncertainty,moid,inclination,eccentricity
3819574,60.47,23.005,64466387.18,21.967592,0,24.26,10118.723463,0.00009883,9,1.000000,0.0000,0.000000
3831210,56.69,10.910,17554169.33,4.071671,0,24.40,2755.324020,0.00036293,9,1.000000,0.0000,0.000000
54016489,254.41,30.037,44561001.64,2788.876187,1,21.14,6994.349653,0.00014297,9,1.000000,0.0000,0.000000
54165800,24.41,23.827,42583700.35,1.549759,0,26.23,6683.990009,0.00014961,9,1.000000,0.0000,0.000000
54202333,55.66,24.963,57739027.65,20.170593,0,24.44,9062.788833,0.00011034,9,1.000000,0.0000,0.000000
54205444,20.02,16.200,19264377.97,0.395528,0,26.66,3023.760472,0.00033071,9,1.000000,0.0000,0.000000
54312823,12.23,7.408,15054344.82,0.018857,0,27.73,2362.948489,0.00042320,9,1.000000,0.0000,0.000000
54490869,241.85,34.759,69712527.71,3208.147066,0,21.25,10942.164137,0.00009139,9,1.000000,0.0000,0.000000
54545158,63.35,9.383,15062308.16,4.201610,0,24.16,2364.198423,0.00042298,9,1.000000,0.0000,0.000000
54546614,92.46,10.459,22935721.96,16.230355,0,23.34,3600.019144,0.00027778,9,1.000000,0.0000,0.000000
54546916,39.99,6.515,15781356.30,0.509518,0,25.16,2477.061105,0.00040370,9,1.000000,0.0000,0.000000
54548503,14.41,10.295,3077935.95,0.059566,0,27.37,483.116614,0.00206989,9,1.000000,0.0000,0.000000
54550522,47.77,13.020,15947501.21,3.468349,0,24.77,2503.139414,0.00039950,9,1.000000,0.0000,0.000000
54550578,58.10,8.625,11124243.52,2.737855,0,24.35,1746.074951,0.00057271,9,1.000000,0.0000,0.000000
2477719,38.15,5.161,14627344.87,0.277749,0,25.26,2295.926051,0.00043555,9,1.000000,0.0000,0.000000
3255174,31.74,21.235,58913122.36,2.705364,0,25.66,9247.076183,0.00010814,9,1.000000,0.0000,0.000000
3648864,23.63,8.081,26175195.62,0.161847,0,26.30,4108.490915,0.00024340,9,1.000000,0.0000,0.000000
3781891,62.16,9.821,39292473.37,4.349088,0,24.20,6167.394972,0.00016214,9,1.000000,0.0000,0.000000
3785751,158.32,16.868,37278274.20,211.968407,0,22.17,5851.243792,0.00017090,9,1.000000,0.0000,0.000000
3838904,12.81,13.853,57668727.17,0.075718,0,27.63,9051.754382,0.00011048,9,1.000000,0.0000,0.000000
54131736,399.52,22.182,10897501.48,5889.913783,1,20.16,1710.485243,0.00058463,9,1.000000,0.0000,0.000000
54211501,352.81,21.310,25103009.86,3743.594152,0,20.43,3940.199318,0.00025379,9,1.000000,0.0000,0.000000
54215637,71.05,6.244,38999447.66,2.624488,0,23.91,6121.401296,0.00016336,9,1.000000,0.0000,0.000000
54240297,111.57,16.366,42025803.82,69.827848,0,22.93,6596.421883,0.00015160,9,1.000000,0.0000,0.000000
54318589,40.51,21.650,63484736.40,5.848248,0,25.13,9964.642348,0.00010035,9,1.000000,0.0000,0.000000
54416724,48.03,7.495,46153734.45,1.168459,0,24.76,7244.346955,0.00013804,9,1.000000,0.0000,0.000000
54486545,103.64,22.301,37118375.62,103.939769,0,23.09,5826.145914,0.00017164,9,1.000000,0.0000,0.000000
54488497,13.05,5.397,9234102.72,0.012148,0,27.59,1449.396126,0.00068994,9,1.000000,0.0000,0.000000
54496027,32.03,11.365,27012890.14,0.796643,0,25.64,4239.976478,0.00023585,9,1.000000,0.0000,0.000000
54547366,57.48,9.072,14399495.51,2.934699,0,24.37,2260.162535,0.00044245,9,1.000000,0.0000,0.000000
54549119,34.45,13.334,4528950.11,1.364019,0,25.48,710.869582,0.00140673,9,1.000000,0.0000,0.000000
54549120,19.03,12.775,3543868.12,0.211285,0,26.77,556.249901,0.00179775,9,1.000000,0.0000,0.000000
54549688,72.03,5.593,16053981.20,2.195164,0,23.88,2519.852645,0.00039685,9,1.000000,0.0000,0.000000
54550524,18.71,5.695,4237528.80,0.039891,0,26.81,665.127736,0.00150347,9,1.000000,0.0000,0.000000
3163746,366.05,23.986,57588819.81,5297.159130,0,20.35,9039.212025,0.00011063,9,1.000000,0.0000,0.000000
3388887,121.77,14.043,61796378.06,66.842431,0,22.74,9699.635545,0.00010310,9,1.000000,0.0000,0.000000
3612164,364.37,36.437,70170345.77,12055.977514,0,20.36,11014.023822,0.00009079,9,1.000000,0.0000,0.000000
3789121,330.78,17.504,29656442.79,2081.525214,0,20.57,4654.911755,0.00021483,9,1.000000,0.0000,0.000000
3831876,28.41,24.764,73660759.01,2.640956,0,25.90,11561.883379,0.00008649,9,1.000000,0.0000,0.000000
54051399,31.44,13.634,2713951.15,1.084858,0,25.68,425.985112,0.00234750,9,1.000000,0.0000,0.000000
54101717,19.12,14.156,64000008.16,0.263016,0,26.76,10045.520038,0.00009955,9,1.000000,0.0000,0.000000
54190785,54.39,9.744,16077901.66,2.868280,0,24.49,2523.607230,0.00039626,9,1.000000,0.0000,0.000000
54489167,50.76,14.278,28416562.27,5.005722,0,24.64,4460.298583,0.00022420,9,1.000000,0.0000,0.000000
54535145,211.61,12.751,10978714.48,289.208280,0,21.54,1723.232535,0.00058030,9,1.000000,0.0000,0.000000
54548209,36.10,5.741,15710501.92,0.291178,0,25.38,2465.939714,0.00040552,9,1.000000,0.0000,0.000000
54548507,43.23,8.008,6271891.42,0.972255,0,24.99,984.443795,0.00101580,9,1.000000,0.0000,0.000000
54548711,21.82,7.754,3550613.02,0.117334,0,26.47,557.308589,0.00179434,9,1.000000,0.0000,0.000000
54549118,34.67,14.755,494631.76,1.703011,0,25.47,77.638010,0.01288029,9,1.000000,0.0000,0.000000
2162080,440.09,17.083,61525294.06,4669.057131,0,19.95,9657.085867,0.00010355,9,1.000000,0.0000,0.000000
3785769,39.22,18.305,47262643.88,3.795589,0,25.20,7418.402743,0.00013480,9,1.000000,0.0000,0.000000
54017652,29.75,13.095,62188993.27,0.847855,0,25.80,9761.260912,0.00010245,9,1.000000,0.0000,0.000000
54055119,21.55,18.421,60209055.27,0.637872,0,26.50,9450.487407,0.00010581,9,1.000000,0.0000,0.000000
54278307,36.27,9.741,50158125.40,0.849825,0,25.37,7872.881086,0.00012702,9,1.000000,0.0000,0.000000
54296538,89.03,3.134,65888566.62,1.301081,0,23.42,10341.950498,0.00009669,9,1.000000,0.0000,0.000000
