Metric,Value
Total Unique Asteroids,1976
Hazardous Asteroids,75
Large Asteroids (>500m),47
Close Approaches (<1M km),70
Total Approach Events,2040
API Calls Made,19
Duplicates Removed,64
Data Generated,2025-10-05T01:54:08.969Z
