id,name,diameter_meters,diameter_km,is_hazardous,is_sentry_object,absolute_magnitude_h,latest_approach_date,latest_velocity_km_s,latest_distance_km,total_approaches,nasa_jpl_url,orbit_id,orbit_uncertainty,minimum_orbit_intersection,eccentricity,semi_major_axis,inclination,orbital_period,perihelion_distance,aphelion_distance,mean_anomaly,mean_motion,orbit_class_type,orbit_class_description,orbit_class_range,estimated_mass_kg,kinetic_energy_mt,potential_crater_km,threat_category
3667130,(2014 GJ35),390.43,0.3904,false,false,20.21,2025-10-12,25.4527306192,35515266.70933237,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3667130,,,,,,,,,,,,,,,93486247473,7237.6040,10.47,GLOBAL
54053743,(2020 RS),35.77,0.0358,false,false,25.4,2025-10-12,6.3183307862,20524744.273428753,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54053743,,,,,,,,,,,,,,,71903119,0.3430,0.87,MINIMAL
54185132,(2021 PZ9),17.60,0.0176,false,false,26.94,2025-10-12,5.3645555402,30520101.961980406,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54185132,,,,,,,,,,,,,,,8565402,0.0295,0.47,MINIMAL
54207058,(2021 TJ10),6.88,0.0069,false,false,28.98,2025-10-12,13.5009471036,35339607.813273706,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54207058,,,,,,,,,,,,,,,511385,0.0111,0.37,MINIMAL
54254428,(2022 EX4),47.16,0.0472,false,false,24.8,2025-10-12,20.4266761897,56990996.77350316,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54254428,,,,,,,,,,,,,,,164720529,8.2134,1.92,LOCAL
54354276,(2023 GX),19.57,0.0196,false,true,26.71,2025-10-12,16.6268261751,68772897.04511666,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54354276,,,,,,,,,,,,,,,11769221,0.3888,0.90,MINIMAL
54390665,(2023 TN),48.48,0.0485,false,false,24.74,2025-10-12,23.9945506839,63408396.713787764,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54390665,,,,,,,,,,,,,,,178956603,12.3126,2.13,REGIONAL
54439707,(2024 JK1),22.36,0.0224,false,false,26.42,2025-10-12,6.7113958351,28312618.40898791,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54439707,,,,,,,,,,,,,,,17569028,0.0946,0.63,MINIMAL
54487057,(2024 TL1),97.17,0.0972,false,false,23.23,2025-10-12,33.1324358483,57328757.00433536,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54487057,,,,,,,,,,,,,,,1441277901,189.0744,4.21,CONTINENTAL
54546409,(2025 SF2),72.07,0.0721,false,false,23.879,2025-10-12,6.4517636234,21850757.099111874,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54546409,,,,,,,,,,,,,,,587959927,2.9247,1.48,LOCAL
54548207,(2025 SQ14),36.62,0.0366,false,true,25.349,2025-10-12,7.4277907386,21419182.114190154,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54548207,,,,,,,,,,,,,,,77152096,0.5087,0.96,MINIMAL
3370286,(2007 EV),43.01,0.0430,false,true,25,2025-10-11,23.2798599159,65573368.920384064,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3370286,,,,,,,,,,,,,,,124953299,8.0926,1.91,LOCAL
